Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,1000,Total,,0,19356712960,18460,36920,0,0,64,52,,
,WRITE,1000,0,,0,19356712960,,,0,,64,52,nid002825:1611,
,WRITE,2000,Total,,2,45774012416,25193,50387,0,0,64,52,,
,WRITE,2000,0,,2,45774012416,,,0,,64,52,nid002825:1611,
,WRITE,3000,Total,,3,71845806080,24864,49728,0,0,64,45,,
,WRITE,3000,0,,3,71845806080,,,0,,64,45,nid002825:1611,
,WRITE,4000,Total,,4,97296318464,24271,48543,0,0,64,52,,
,WRITE,4000,0,,4,97296318464,,,0,,64,52,nid002825:1611,
,WRITE,5000,Total,,5,123080278016,24589,49179,0,0,64,53,,
,WRITE,5000,0,,5,123080278016,,,0,,64,53,nid002825:1611,
,WRITE,6000,Total,,6,141429833728,17499,34999,0,0,64,52,,
,WRITE,6000,0,,6,141429833728,,,0,,64,52,nid002825:1611,
,WRITE,7000,Total,,7,156143452160,14032,28064,0,0,64,50,,
,WRITE,7000,0,,7,156143452160,,,0,,64,50,nid002825:1611,
,WRITE,8000,Total,,7,174042644480,17070,34140,0,0,64,52,,
,WRITE,8000,0,,7,174042644480,,,0,,64,52,nid002825:1611,
,WRITE,9000,Total,,8,188014395392,13324,26649,0,0,64,53,,
,WRITE,9000,0,,8,188014395392,,,0,,64,53,nid002825:1611,
,WRITE,10000,Total,,9,204273614848,15506,31012,0,0,64,52,,
,WRITE,10000,0,,9,204273614848,,,0,,64,52,nid002825:1611,
,WRITE,11000,Total,,9,217169526784,12298,24597,0,0,64,51,,
,WRITE,11000,0,,9,217169526784,,,0,,64,51,nid002825:1611,
,WRITE,12000,Total,,10,227090628608,9461,18923,0,0,64,51,,
,WRITE,12000,0,,10,227090628608,,,0,,64,51,nid002825:1611,
,WRITE,13000,Total,,11,243033702400,15204,30409,0,0,64,51,,
,WRITE,13000,0,,11,243033702400,,,0,,64,51,nid002825:1611,
,WRITE,14000,Total,,12,264512208896,20483,40967,0,0,64,52,,
,WRITE,14000,0,,12,264512208896,,,0,,64,52,nid002825:1611,
,WRITE,15000,Total,,12,283179483136,17802,35605,0,0,64,51,,
,WRITE,15000,0,,12,283179483136,,,0,,64,51,nid002825:1611,
,WRITE,16000,Total,,13,295064567808,11334,22669,0,0,64,51,,
,WRITE,16000,0,,13,295064567808,,,0,,64,51,nid002825:1611,
,WRITE,17000,Total,,14,310493839360,14714,29429,0,0,64,53,,
,WRITE,17000,0,,14,310493839360,,,0,,64,53,nid002825:1611,
,WRITE,18000,Total,,15,331752669184,20274,40548,0,0,64,51,,
,WRITE,18000,0,,15,331752669184,,,0,,64,51,nid002825:1611,
,WRITE,19000,Total,,15,345202229248,12826,25653,0,0,64,52,,
,WRITE,19000,0,,15,345202229248,,,0,,64,52,nid002825:1611,
,WRITE,20000,Total,,16,365237370880,19107,38214,0,0,64,51,,
,WRITE,20000,0,,16,365237370880,,,0,,64,51,nid002825:1611,
,WRITE,21000,Total,,17,382048141312,16032,32064,0,0,64,51,,
,WRITE,21000,0,,17,382048141312,,,0,,64,51,nid002825:1611,
,WRITE,22000,Total,,18,398161608704,15367,30734,0,0,64,51,,
