ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2022-05-03T17:14:13-0700,,dir,1,1,64,1,1,34359738368,524288,0,0,,1,1,0,SYNC,0,0,,,,,,,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1-0,"/global/homes/g/glock/src/elbencho-testing/src/elbencho/bin.perlmutter/elbencho" "--hosts" "nid002825 " "--threads" "64" "--files" "1" "--size" "32g" "--block" "512k" "--read" "--sync" "--dirsharing" "--resfile" "bw-read.64threads.2103885.out" "--csvfile" "bw-read.64threads.2103885.csv" "--livecsv" "bw-read.64threads.2103885.live.csv" "--livecsvex" "--liveint" "1000" "--nolive" "/pscratch/sd/g/glock" 
2022-05-03T17:18:19-0700,,dir,1,1,64,1,1,34359738368,524288,0,0,,1,1,0,READ,107659,245012,0,0,21969,17118,10984,8559,33,24,1,64,1182619,2097152,107658798,179291187,245011460,52,2734,44692573,,,,,,,,,,,,,,,,,2.1-0,"/global/homes/g/glock/src/elbencho-testing/src/elbencho/bin.perlmutter/elbencho" "--hosts" "nid002825 " "--threads" "64" "--files" "1" "--size" "32g" "--block" "512k" "--read" "--sync" "--dirsharing" "--resfile" "bw-read.64threads.2103885.out" "--csvfile" "bw-read.64threads.2103885.csv" "--livecsv" "bw-read.64threads.2103885.live.csv" "--livecsvex" "--liveint" "1000" "--nolive" "/pscratch/sd/g/glock" 
2022-05-03T17:18:19-0700,,dir,1,1,64,1,1,34359738368,524288,0,0,,1,1,0,SYNC,0,1,,,,,,,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1-0,"/global/homes/g/glock/src/elbencho-testing/src/elbencho/bin.perlmutter/elbencho" "--hosts" "nid002825 " "--threads" "64" "--files" "1" "--size" "32g" "--block" "512k" "--read" "--sync" "--dirsharing" "--resfile" "bw-read.64threads.2103885.out" "--csvfile" "bw-read.64threads.2103885.csv" "--livecsv" "bw-read.64threads.2103885.live.csv" "--livecsvex" "--liveint" "1000" "--nolive" "/pscratch/sd/g/glock" 
