ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2022-05-03T16:50:12-0700,,dir,1,1,64,1,1,17179869184,4194304,0,0,,1,1,0,SYNC,1,2,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1-0,"/global/homes/g/glock/src/elbencho-testing/src/elbencho/bin.perlmutter/elbencho" "--hosts" "nid002588 " "--threads" "64" "--files" "1" "--size" "16g" "--block" "4m" "--read" "--sync" "--dirsharing" "--resfile" "bw.64threads.2103864.out" "--csvfile" "bw.64threads.2103864.csv" "--livecsv" "bw.64threads.2103864.live.csv" "--liveint" "5000" "--nolive" "/pscratch/sd/g/glock" 
2022-05-03T16:52:34-0700,,dir,1,1,64,1,1,17179869184,4194304,0,0,,1,1,0,READ,70661,141899,0,0,2301,1847,9204,7389,36,28,1,64,650376,1048576,70660616,106901207,141898284,381,26092,107494998,,,,,,,,,,,,,,,,,2.1-0,"/global/homes/g/glock/src/elbencho-testing/src/elbencho/bin.perlmutter/elbencho" "--hosts" "nid002588 " "--threads" "64" "--files" "1" "--size" "16g" "--block" "4m" "--read" "--sync" "--dirsharing" "--resfile" "bw.64threads.2103864.out" "--csvfile" "bw.64threads.2103864.csv" "--livecsv" "bw.64threads.2103864.live.csv" "--liveint" "5000" "--nolive" "/pscratch/sd/g/glock" 
2022-05-03T16:52:34-0700,,dir,1,1,64,1,1,17179869184,4194304,0,0,,1,1,0,SYNC,0,1,,,,,,,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1-0,"/global/homes/g/glock/src/elbencho-testing/src/elbencho/bin.perlmutter/elbencho" "--hosts" "nid002588 " "--threads" "64" "--files" "1" "--size" "16g" "--block" "4m" "--read" "--sync" "--dirsharing" "--resfile" "bw.64threads.2103864.out" "--csvfile" "bw.64threads.2103864.csv" "--livecsv" "bw.64threads.2103864.live.csv" "--liveint" "5000" "--nolive" "/pscratch/sd/g/glock" 
