ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2022-05-03T16:44:32-0700,,dir,1,1,64,1,1,17179869184,4194304,0,0,,1,1,0,SYNC,0,1,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1-0,"/global/homes/g/glock/src/elbencho-testing/src/elbencho/bin.perlmutter/elbencho" "--hosts" "nid001608 " "--threads" "64" "--files" "1" "--size" "16g" "--block" "4m" "--mkdirs" "--write" "--sync" "--dirsharing" "--resfile" "bw.00threads.2103818.out" "--csvfile" "bw.00threads.2103818.csv" "--livecsv" "bw.00threads.2103818.live.csv" "--liveint" "5000" "--nolive" "/pscratch/sd/g/glock" 
2022-05-03T16:44:32-0700,,dir,1,1,64,1,1,17179869184,4194304,0,0,,1,1,0,MKDIRS,15,22,4178,2785,,,,,6,6,64,64,,,4328,11174,21356,,,,,,,,,,,,,,,,,,,,2.1-0,"/global/homes/g/glock/src/elbencho-testing/src/elbencho/bin.perlmutter/elbencho" "--hosts" "nid001608 " "--threads" "64" "--files" "1" "--size" "16g" "--block" "4m" "--mkdirs" "--write" "--sync" "--dirsharing" "--resfile" "bw.00threads.2103818.out" "--csvfile" "bw.00threads.2103818.csv" "--livecsv" "bw.00threads.2103818.live.csv" "--liveint" "5000" "--nolive" "/pscratch/sd/g/glock" 
2022-05-03T16:44:33-0700,,dir,1,1,64,1,1,17179869184,4194304,0,0,,1,1,0,SYNC,0,1,,,,,,,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1-0,"/global/homes/g/glock/src/elbencho-testing/src/elbencho/bin.perlmutter/elbencho" "--hosts" "nid001608 " "--threads" "64" "--files" "1" "--size" "16g" "--block" "4m" "--mkdirs" "--write" "--sync" "--dirsharing" "--resfile" "bw.00threads.2103818.out" "--csvfile" "bw.00threads.2103818.csv" "--livecsv" "bw.00threads.2103818.live.csv" "--liveint" "5000" "--nolive" "/pscratch/sd/g/glock" 
2022-05-03T16:45:46-0700,,dir,1,1,64,1,1,17179869184,4194304,0,0,,1,1,0,WRITE,49499,73240,0,0,3757,3579,15030,14316,49,47,6,64,744032,1048576,49499145,66643811,73239190,2342,16258,16287850,,,,,,,,,,,,,,,,,2.1-0,"/global/homes/g/glock/src/elbencho-testing/src/elbencho/bin.perlmutter/elbencho" "--hosts" "nid001608 " "--threads" "64" "--files" "1" "--size" "16g" "--block" "4m" "--mkdirs" "--write" "--sync" "--dirsharing" "--resfile" "bw.00threads.2103818.out" "--csvfile" "bw.00threads.2103818.csv" "--livecsv" "bw.00threads.2103818.live.csv" "--liveint" "5000" "--nolive" "/pscratch/sd/g/glock" 
2022-05-03T16:46:27-0700,,dir,1,1,64,1,1,17179869184,4194304,0,0,,1,1,0,SYNC,0,40288,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1-0,"/global/homes/g/glock/src/elbencho-testing/src/elbencho/bin.perlmutter/elbencho" "--hosts" "nid001608 " "--threads" "64" "--files" "1" "--size" "16g" "--block" "4m" "--mkdirs" "--write" "--sync" "--dirsharing" "--resfile" "bw.00threads.2103818.out" "--csvfile" "bw.00threads.2103818.csv" "--livecsv" "bw.00threads.2103818.live.csv" "--liveint" "5000" "--nolive" "/pscratch/sd/g/glock" 
