Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,READ,1000,Total,,1,37159698432,35438,283506,0,0,256,42,,
,READ,2000,Total,,4,95646777344,55777,446221,0,0,256,39,,
,READ,3000,Total,,7,157040771072,58549,468399,0,0,256,37,,
,READ,4000,Total,,9,212945731584,53315,426521,0,0,256,38,,
,READ,5000,Total,,12,276381302784,60496,483975,0,0,256,36,,
,READ,6000,Total,,15,341471920128,62075,496602,0,0,256,32,,
,READ,7000,Total,,17,394706157568,50768,406145,0,0,256,30,,
,READ,8000,Total,,20,447830425600,50663,405306,0,0,256,31,,
,READ,9000,Total,,22,501153792000,50853,406825,0,0,256,30,,
,READ,10000,Total,,24,543027625984,39934,319472,0,0,256,24,,
,READ,11000,Total,,26,589161824256,43997,351976,0,0,256,30,,
,READ,12000,Total,,28,624809738240,33996,271972,0,0,256,26,,
,READ,13000,Total,,30,664352063488,37710,301684,0,0,256,25,,
,READ,14000,Total,,32,707909255168,41539,332315,0,0,256,28,,
,READ,15000,Total,,34,748331859968,38550,308400,0,0,256,25,,
,READ,16000,Total,,35,789160263680,38937,311496,0,0,256,25,,
,READ,17000,Total,,37,827949842432,36992,295941,0,0,256,24,,
,READ,18000,Total,,39,866521055232,36784,294275,0,0,256,23,,
,READ,19000,Total,,41,910339342336,41788,334307,0,0,256,29,,
,READ,20000,Total,,43,947673890816,35605,284840,0,0,256,26,,
,READ,21000,Total,,44,988049047552,38504,308038,0,0,256,25,,
,READ,22000,Total,,46,1025993867264,36187,289496,0,0,256,25,,
,READ,23000,Total,,48,1070529773568,42472,339782,0,0,256,29,,
,READ,24000,Total,,50,1107822116864,35564,284518,0,0,256,27,,
,READ,25000,Total,,52,1147734458368,38063,304507,0,0,256,24,,
,READ,26000,Total,,53,1186179973120,36664,293316,0,0,256,27,,
,READ,27000,Total,,56,1231748726784,43457,347662,0,0,256,29,,
,READ,28000,Total,,57,1269883863040,36368,290948,0,0,256,28,,
,READ,29000,Total,,59,1310694834176,38920,311363,0,0,256,25,,
,READ,30000,Total,,61,1355035836416,42286,338295,0,0,256,28,,
,READ,31000,Total,,63,1399197007872,42115,336923,0,0,256,32,,
,READ,32000,Total,,65,1439056003072,38012,304100,0,0,256,31,,
,READ,33000,Total,,67,1477169119232,36347,290780,1,1,255,26,,
,READ,34000,Total,,69,1527963189248,48441,387528,4,3,252,32,,
,READ,35000,Total,,71,1574374998016,44261,354094,6,2,250,36,,
,READ,36000,Total,,73,1615895855104,39597,316779,16,10,240,35,,
,READ,37000,Total,,75,1658944618496,41054,328436,29,13,227,32,,
,READ,38000,Total,,77,1702520029184,41556,332454,35,6,221,33,,
,READ,39000,Total,,79,1745298522112,40796,326374,50,15,206,29,,
,READ,40000,Total,,81,1789140533248,41811,334488,60,10,196,29,,
,READ,41000,Total,,83,1833894412288,42680,341445,65,5,191,28,,
,READ,42000,Total,,85,1876846313472,40962,327697,75,10,181,28,,
,READ,43000,Total,,87,1916126887936,37460,299687,83,8,173,28,,
,READ,44000,Total,,89,1963882446848,45543,364346,95,12,161,31,,
,READ,45000,Total,,91,2002906644480,37216,297731,110,15,146,33,,
,READ,46000,Total,,92,2035114835968,30716,245729,132,22,124,33,,
,READ,47000,Total,,94,2074678132736,37730,301844,165,33,91,25,,
,READ,48000,Total,,95,2100767490048,24880,199046,193,28,63,17,,
,READ,49000,Total,,96,2119809368064,18159,145278,214,21,42,7,,
,READ,50000,Total,,96,2131151290368,10816,86532,235,21,21,5,,
,READ,51000,Total,,97,2139894710272,8338,66707,241,6,15,5,,
,READ,52000,Total,,97,2147226091520,6991,55934,241,0,15,5,,
,READ,53000,Total,,97,2154167402496,6619,52958,241,0,15,4,,
,READ,54000,Total,,98,2157872152576,3533,28265,242,1,14,4,,
,READ,55000,Total,,98,2162209849344,4136,33094,243,1,13,4,,
,READ,56000,Total,,98,2165821931520,3444,27558,245,2,11,3,,
,READ,57000,Total,,98,2168092622848,2165,17324,245,0,11,2,,
,READ,58000,Total,,98,2170923515904,2699,21598,246,1,10,2,,
,READ,59000,Total,,98,2173815881728,2758,22067,246,0,10,1,,
,READ,60000,Total,,99,2182307643392,8098,64787,249,3,7,0,,
,READ,61000,Total,,99,2183564230656,1198,9587,250,1,6,0,,
,READ,62000,Total,,99,2184661041152,1046,8368,251,1,5,0,,
,READ,63000,Total,,99,2185004974080,328,2624,251,0,5,0,,
